short_name,long_name,player_id,player_overall,potential,age,height_cm,weight_kg,value_millions_eur,wage_thousands_eur,pace,shooting,passing,dribbling,defending,physic,player_positions,preferred_foot,nationality_name,league_name,skill_moves,weak_foot,international_reputation,club_name,team_overall,domestic_prestige,def_style,off_chance_creation,overall15,value_millions_eur15,country,image_link
J. Oblak,Jan Oblak,200389,89,90,29,188,87,79.0,100.0,46.0,79.0,79.0,90.0,87.0,86.0,GK,Right,Slovenia,La Liga,1,3,5,Atlético Madrid,82.0,9.0,Pressure On Heavy Touch,Balanced,88,57.0,Spain,https://cdn.sofifa.net/players/200/389/23_360.png
H. Kane,Harry Kane,202126,89,89,28,188,89,105.5,240.0,69.0,91.0,83.0,83.0,47.0,82.0,ST,Right,England,Premier League,3,5,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,86,59.0,England,https://cdn.sofifa.net/players/202/126/23_360.png
V. van Dijk,Virgil van Dijk,203376,89,89,30,193,92,84.5,220.0,81.0,60.0,71.0,72.0,90.0,86.0,CB,Right,Netherlands,Premier League,2,3,4,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,27.5,England,https://cdn.sofifa.net/players/203/376/23_360.png
S. Mané,Sadio Mané,208722,89,89,30,174,69,101.0,155.0,88.0,82.0,80.0,88.0,44.0,77.0,"CF, LM",Right,Senegal,Bundesliga,4,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,84,39.0,Germany,https://cdn.sofifa.net/players/208/722/23_360.png
Ederson,Ederson Santana de Moraes,210257,89,91,28,188,86,88.0,210.0,64.0,93.0,93.0,82.0,88.0,87.0,GK,Left,Brazil,Premier League,1,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,26.0,England,https://cdn.sofifa.net/players/210/257/23_360.png
J. Kimmich,Joshua Walter Kimmich,212622,89,90,27,177,75,105.5,130.0,68.0,72.0,87.0,84.0,83.0,79.0,"CDM, RB, CM",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,81,20.5,Germany,https://cdn.sofifa.net/players/212/622/23_360.png
Alisson,Alisson Ramsés Becker,212831,89,90,29,193,91,79.0,190.0,54.0,85.0,85.0,85.0,90.0,86.0,GK,Right,Brazil,Premier League,1,3,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,80,14.0,England,https://cdn.sofifa.net/players/212/831/23_360.png
E. Haaland,Erling Braut Haaland,239085,89,94,21,195,94,160.0,230.0,89.0,91.0,65.0,80.0,49.0,88.0,ST,Left,Norway,Premier League,3,3,4,Manchester City,85.0,10.0,Press After Possession Loss,Possession,58,0.25,England,https://cdn.sofifa.net/players/239/085/23_360.png
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,20801,88,88,37,187,83,31.0,86.0,79.0,91.0,76.0,83.0,34.0,72.0,ST,Right,Portugal,Pro League,5,4,5,Al Nassr,73.0,9.0,Pressure On Heavy Touch,Forward Runs,94,95.5,Unknown,https://cdn.sofifa.net/players/020/801/23_360.png
L. Modrić,Luka Modrić,177003,88,88,36,172,66,29.0,230.0,73.0,76.0,89.0,88.0,72.0,66.0,CM,Right,Croatia,La Liga,4,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,89,57.0,Spain,https://cdn.sofifa.net/players/177/003/23_360.png
T. Kroos,Toni Kroos,182521,88,88,32,183,76,72.0,310.0,53.0,81.0,90.0,81.0,71.0,68.0,CM,Right,Germany,La Liga,3,5,4,Real Madrid,85.0,10.0,Balanced,Balanced,90,79.0,Spain,https://cdn.sofifa.net/players/182/521/23_360.png
M. ter Stegen,Marc-André ter Stegen,192448,88,89,30,187,85,68.5,210.0,47.0,87.0,87.0,85.0,85.0,86.0,GK,Right,Germany,La Liga,1,4,4,FC Barcelona,84.0,10.0,Balanced,Possession,85,35.5,Spain,https://cdn.sofifa.net/players/192/448/23_360.png
K. Navas,Keylor Navas Gamboa,193041,88,88,35,185,80,10.0,85.0,54.0,75.0,75.0,84.0,87.0,89.0,GK,Right,Costa Rica,Ligue 1,1,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,85,24.5,France,https://cdn.sofifa.net/players/193/041/23_360.png
H. Son,손흥민 孙兴慜,200104,88,88,29,183,78,89.5,230.0,88.0,89.0,80.0,85.0,42.0,69.0,"LW, LM, ST",Right,Korea Republic,Premier League,4,5,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,82,28.0,England,https://cdn.sofifa.net/players/200/104/23_360.png
Marquinhos,Marcos Aoás Corrêa,207865,88,90,28,183,75,92.0,170.0,79.0,56.0,75.0,74.0,89.0,80.0,CB,Right,Brazil,Ligue 1,3,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,83,30.5,France,https://cdn.sofifa.net/players/207/865/23_360.png
João Cancelo,João Pedro Cavaco Cancelo,210514,88,88,28,182,74,82.5,250.0,85.0,73.0,85.0,85.0,81.0,73.0,"LB, RB",Right,Portugal,Premier League,4,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,79,15.0,England,https://cdn.sofifa.net/players/210/514/23_360.png
N. Kanté,N'Golo Kanté,215914,88,88,31,168,70,64.0,210.0,72.0,66.0,74.0,81.0,86.0,81.0,"CDM, CM",Right,France,Premier League,2,3,4,Chelsea,84.0,9.0,Balanced,Possession,87,52.5,England,https://cdn.sofifa.net/players/215/914/23_360.png
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,218667,88,88,27,173,64,97.5,260.0,74.0,78.0,84.0,92.0,66.0,68.0,"CAM, CM",Left,Portugal,Premier League,4,3,2,Manchester City,85.0,10.0,Press After Possession Loss,Possession,84,43.5,England,https://cdn.sofifa.net/players/218/667/23_360.png
G. Donnarumma,Gianluigi Donnarumma,230621,88,92,23,196,90,103.5,110.0,52.0,79.0,79.0,83.0,85.0,90.0,GK,Right,Italy,Ligue 1,1,3,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,82,28.5,France,https://cdn.sofifa.net/players/230/621/23_360.png
Rúben Dias,Rúben dos Santos Gato Alves Dias,239818,88,91,25,187,82,107.5,230.0,63.0,39.0,66.0,68.0,88.0,88.0,CB,Right,Portugal,Premier League,2,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,68,1.3,England,https://cdn.sofifa.net/players/239/818/23_360.png
De Gea,David De Gea Quintana,193080,87,87,31,192,76,42.0,150.0,51.0,75.0,75.0,80.0,86.0,88.0,GK,Right,Spain,Premier League,1,3,4,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,90,64.5,England,https://cdn.sofifa.net/players/193/080/23_360.png
M. Verratti,Marco Verratti,199556,87,87,29,165,60,77.5,155.0,60.0,61.0,87.0,91.0,79.0,66.0,"CM, CAM",Right,Italy,Ligue 1,4,4,3,Paris Saint Germain,85.0,10.0,Press After Possession Loss,Possession,87,64.5,France,https://cdn.sofifa.net/players/199/556/23_360.png
A. Rüdiger,Antonio Rüdiger,205452,87,88,29,190,85,73.5,250.0,82.0,53.0,71.0,67.0,86.0,85.0,CB,Right,Germany,La Liga,2,3,2,Real Madrid,85.0,10.0,Balanced,Balanced,82,24.5,Spain,https://cdn.sofifa.net/players/205/452/23_360.png
L. Goretzka,Leon Christoph Goretzka,209658,87,88,27,189,82,91.0,115.0,78.0,82.0,82.0,83.0,81.0,86.0,"CM, CDM",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,82,30.0,Germany,https://cdn.sofifa.net/players/209/658/23_360.png
M. Maignan,Mike Maignan,215698,87,90,26,191,89,80.0,90.0,51.0,85.0,85.0,82.0,85.0,85.0,GK,Right,France,Serie A,1,4,2,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,72,3.5,Italy,https://cdn.sofifa.net/players/215/698/23_360.png
A. Robertson,Andrew Robertson,216267,87,87,28,178,64,72.0,185.0,80.0,61.0,81.0,81.0,82.0,76.0,LB,Left,Scotland,Premier League,3,2,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,75,8.0,England,https://cdn.sofifa.net/players/216/267/23_360.png
F. de Jong,Frenkie de Jong,228702,87,92,25,180,74,116.5,230.0,82.0,69.0,86.0,87.0,77.0,78.0,CM,Right,Netherlands,La Liga,4,3,3,FC Barcelona,84.0,10.0,Balanced,Possession,72,5.0,Spain,https://cdn.sofifa.net/players/228/702/23_360.png
Rodri,Rodrigo Hernández Cascante,231866,87,89,26,191,82,88.5,200.0,58.0,72.0,78.0,79.0,83.0,84.0,CDM,Right,Spain,Premier League,3,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,70,2.7,England,https://cdn.sofifa.net/players/231/866/23_360.png
Thiago Silva,Thiago Emiliano da Silva,164240,86,86,37,183,79,12.0,115.0,49.0,54.0,73.0,72.0,87.0,75.0,CB,Right,Brazil,Premier League,2,3,4,Chelsea,84.0,9.0,Balanced,Possession,88,34.0,England,https://cdn.sofifa.net/players/164/240/23_360.png
H. Lloris,Hugo Lloris,167948,86,86,35,188,82,7.5,74.0,60.0,72.0,72.0,82.0,83.0,87.0,GK,Left,France,Premier League,1,1,4,Tottenham Hotspur,81.0,8.0,Balanced,Balanced,88,38.0,England,https://cdn.sofifa.net/players/167/948/23_360.png
Y. Sommer,Yann Sommer,177683,86,86,33,183,79,22.0,43.0,50.0,82.0,82.0,81.0,86.0,78.0,GK,Right,Switzerland,Bundesliga,1,4,3,Borussia Mönchengladbach,78.0,5.0,Balanced,Possession,83,21.0,Germany,https://cdn.sofifa.net/players/177/683/23_360.png
W. Szczęsny,Wojciech Tomasz Szczęsny,186153,86,86,32,195,90,33.5,125.0,49.0,73.0,73.0,83.0,86.0,86.0,GK,Right,Poland,Serie A,1,3,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,82,18.0,Italy,https://cdn.sofifa.net/players/186/153/23_360.png
K. Trapp,Kevin Trapp,188943,86,86,31,189,84,36.0,43.0,46.0,79.0,79.0,82.0,85.0,84.0,GK,Right,Germany,Bundesliga,1,4,3,Eintracht Frankfurt,78.0,6.0,Press After Possession Loss,Forward Runs,82,18.5,Germany,https://cdn.sofifa.net/players/188/943/23_360.png
Thiago,Thiago Alcântara do Nascimento,189509,86,86,31,174,70,55.5,180.0,61.0,72.0,87.0,90.0,73.0,69.0,CM,Right,Spain,Premier League,5,3,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,88,70.5,England,https://cdn.sofifa.net/players/189/509/23_360.png
Parejo,Daniel Parejo Muñoz,189513,86,86,33,182,74,42.0,64.0,50.0,83.0,90.0,80.0,71.0,68.0,"CM, CDM",Right,Spain,La Liga,3,4,2,Villarreal,80.0,8.0,Balanced,Balanced,83,25.5,Spain,https://cdn.sofifa.net/players/189/513/23_360.png
T. Müller,Thomas Müller,189596,86,86,32,185,76,54.0,105.0,67.0,83.0,83.0,80.0,55.0,70.0,"CAM, CF",Right,Germany,Bundesliga,3,4,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,86,47.5,Germany,https://cdn.sofifa.net/players/189/596/23_360.png
C. Immobile,Ciro Immobile,192387,86,86,32,185,85,55.0,100.0,85.0,87.0,68.0,80.0,39.0,75.0,ST,Right,Italy,Serie A,3,4,4,Lazio,79.0,7.0,Press After Possession Loss,Possession,82,26.0,Italy,https://cdn.sofifa.net/players/192/387/23_360.png
D. Alaba,David Olatukunbo Alaba,197445,86,86,30,180,78,55.5,220.0,79.0,71.0,83.0,80.0,85.0,77.0,"CB, LB",Left,Austria,La Liga,3,4,4,Real Madrid,85.0,10.0,Balanced,Balanced,86,44.5,Spain,https://cdn.sofifa.net/players/197/445/23_360.png
K. Koulibaly,Kalidou Koulibaly,201024,86,86,31,186,89,46.5,165.0,79.0,48.0,63.0,68.0,87.0,85.0,CB,Right,Senegal,Premier League,2,4,3,Chelsea,84.0,9.0,Balanced,Possession,84,32.5,England,https://cdn.sofifa.net/players/201/024/23_360.png
Fabinho,Fábio Henrique Tavares,209499,86,86,28,188,78,59.5,170.0,64.0,69.0,78.0,77.0,85.0,83.0,CDM,Right,Brazil,Premier League,3,2,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,83,29.5,England,https://cdn.sofifa.net/players/209/499/23_360.png
P. Dybala,Paulo Bruno Exequiel Dybala,211110,86,86,28,177,75,69.5,130.0,80.0,85.0,85.0,90.0,40.0,59.0,"CF, CAM",Left,Argentina,Serie A,4,3,3,Roma,80.0,8.0,Balanced,Possession,88,79.0,Italy,https://cdn.sofifa.net/players/211/110/23_360.png
Bruno Fernandes,Bruno Miguel Borges Fernandes,212198,86,86,27,179,69,72.5,190.0,72.0,86.0,87.0,81.0,68.0,76.0,"CAM, CM",Right,Portugal,Premier League,4,3,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,78,14.5,England,https://cdn.sofifa.net/players/212/198/23_360.png
Bruno Fernandes,Bruno Miguel Borges Fernandes,212198,86,86,27,179,69,72.5,190.0,72.0,86.0,87.0,81.0,68.0,76.0,"CAM, CM",Right,Portugal,Premier League,4,3,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,78,14.5,England,https://cdn.sofifa.net/players/212/198/23_360.png
A. Laporte,Aymeric Laporte,212218,86,87,28,191,85,64.5,195.0,61.0,50.0,72.0,69.0,86.0,79.0,CB,Left,Spain,Premier League,2,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,84,35.5,England,https://cdn.sofifa.net/players/212/218/23_360.png
K. Coman,Kingsley Junior Coman,213345,86,87,26,181,75,80.0,105.0,92.0,77.0,79.0,87.0,30.0,61.0,"RM, LM",Right,France,Bundesliga,5,3,4,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,79,18.0,Germany,https://cdn.sofifa.net/players/213/345/23_360.png
M. Brozović,Marcelo Brozović,216352,86,86,29,181,68,58.0,110.0,69.0,74.0,81.0,81.0,81.0,78.0,"CDM, CM",Right,Croatia,Serie A,3,4,3,Inter,83.0,9.0,Balanced,Forward Runs,81,23.0,Italy,https://cdn.sofifa.net/players/216/352/23_360.png
S. Milinković-Savić,Sergej Milinković-Savić,223848,86,87,27,192,76,77.5,90.0,68.0,80.0,82.0,82.0,79.0,86.0,CM,Right,Serbia,Serie A,4,5,3,Lazio,79.0,7.0,Press After Possession Loss,Possession,80,20.0,Italy,https://cdn.sofifa.net/players/223/848/23_360.png
N. Barella,Nicolò Barella,224232,86,89,25,175,68,89.5,110.0,79.0,76.0,83.0,84.0,78.0,81.0,CM,Right,Italy,Serie A,3,3,3,Inter,83.0,9.0,Balanced,Forward Runs,70,3.9,Italy,https://cdn.sofifa.net/players/224/232/23_360.png
T. Alexander-Arnold,Trent Alexander-Arnold,231281,86,89,23,180,69,86.0,140.0,76.0,69.0,89.0,80.0,79.0,72.0,RB,Right,England,Premier League,3,4,3,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,69,1.9,England,https://cdn.sofifa.net/players/231/281/23_360.png
L. Martínez,Lautaro Javier Martínez,231478,86,90,24,174,72,98.5,110.0,83.0,83.0,72.0,85.0,48.0,84.0,ST,Right,Argentina,Serie A,4,4,3,Inter,83.0,9.0,Balanced,Forward Runs,72,6.5,Italy,https://cdn.sofifa.net/players/231/478/23_360.png
M. Škriniar,Milan Škriniar,232363,86,87,27,187,80,68.5,105.0,78.0,41.0,57.0,69.0,88.0,86.0,CB,Right,Slovakia,Serie A,2,3,3,Inter,83.0,9.0,Balanced,Forward Runs,74,7.0,Italy,https://cdn.sofifa.net/players/232/363/23_360.png
C. Nkunku,Christopher Nkunku,232411,86,89,24,175,73,94.0,90.0,88.0,81.0,83.0,88.0,62.0,66.0,"CF, CAM, ST",Right,France,Bundesliga,5,3,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,71,3.9,Germany,https://cdn.sofifa.net/players/232/411/23_360.png
É. Mendy,Édouard Mendy,234642,86,87,30,197,86,51.0,130.0,34.0,81.0,81.0,82.0,85.0,84.0,GK,Right,Senegal,Premier League,1,2,2,Chelsea,84.0,9.0,Balanced,Possession,68,0.88,England,https://cdn.sofifa.net/players/234/642/23_360.png
Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,238794,86,92,21,176,73,109.0,200.0,95.0,79.0,74.0,90.0,29.0,67.0,LW,Right,Brazil,La Liga,5,4,2,Real Madrid,85.0,10.0,Balanced,Balanced,0,0.0,Spain,https://cdn.sofifa.net/players/238/794/23_360.png
P. Gulácsi,Péter Gulácsi,185122,85,85,32,191,86,26.5,65.0,43.0,76.0,76.0,84.0,83.0,85.0,GK,Right,Hungary,Bundesliga,1,2,3,RB Leipzig,81.0,8.0,Press After Possession Loss,Balanced,76,6.0,Germany,https://cdn.sofifa.net/players/185/122/23_360.png
İ. Gündoğan,İlkay Gündoğan,186942,85,85,31,180,80,44.0,185.0,64.0,80.0,85.0,85.0,72.0,72.0,"CM, CDM",Right,Germany,Premier League,4,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,85,46.0,England,https://cdn.sofifa.net/players/186/942/23_360.png
M. Reus,Marco Reus,188350,85,85,33,180,71,33.5,78.0,68.0,84.0,84.0,85.0,53.0,65.0,"CAM, CF, RM",Right,Germany,Bundesliga,4,4,4,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,86,45.0,Germany,https://cdn.sofifa.net/players/188/350/23_360.png
K. Walker,Kyle Walker,188377,85,85,32,183,83,37.5,170.0,91.0,63.0,77.0,78.0,80.0,82.0,RB,Right,England,Premier League,3,2,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,24.0,England,https://cdn.sofifa.net/players/188/377/23_360.png
Jordi Alba,Jordi Alba Ramos,189332,85,85,33,170,68,28.0,190.0,84.0,70.0,82.0,82.0,77.0,70.0,LB,Left,Spain,La Liga,3,3,3,FC Barcelona,84.0,10.0,Balanced,Possession,85,30.5,Spain,https://cdn.sofifa.net/players/189/332/23_360.png
Sergio Busquets,Sergio Busquets i Burgos,189511,85,85,33,189,76,26.5,190.0,42.0,62.0,79.0,79.0,82.0,73.0,CDM,Right,Spain,La Liga,3,3,4,FC Barcelona,84.0,10.0,Balanced,Possession,86,36.0,Spain,https://cdn.sofifa.net/players/189/511/23_360.png
R. Lukaku,Romelu Lukaku Menama,192505,85,85,29,191,94,54.0,185.0,80.0,85.0,75.0,77.0,38.0,82.0,ST,Left,Belgium,Serie A,3,4,4,Inter,83.0,9.0,Balanced,Forward Runs,86,59.0,Italy,https://cdn.sofifa.net/players/192/505/23_360.png
Iago Aspas,Iago Aspas Juncal,192629,85,85,34,176,67,26.0,50.0,82.0,85.0,79.0,86.0,35.0,63.0,ST,Left,Spain,La Liga,3,4,2,Celta de Vigo,77.0,6.0,Pressure On Heavy Touch,Balanced,83,26.0,Spain,https://cdn.sofifa.net/players/192/629/23_360.png
P. Pogba,Paul Pogba,195864,85,85,29,191,84,52.5,165.0,67.0,80.0,85.0,85.0,62.0,80.0,"CM, CDM, LM",Right,France,Serie A,5,4,4,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,87,66.5,Italy,https://cdn.sofifa.net/players/195/864/23_360.png
R. Varane,Raphaël Varane,201535,85,85,29,191,81,45.0,170.0,81.0,49.0,64.0,66.0,86.0,79.0,CB,Right,France,Premier League,2,4,3,Manchester United,82.0,8.0,Pressure On Heavy Touch,Possession,85,46.5,England,https://cdn.sofifa.net/players/201/535/23_360.png
M. Depay,Memphis Depay,202556,85,85,28,176,78,55.0,230.0,83.0,84.0,82.0,86.0,30.0,79.0,"CF, LW, ST",Right,Netherlands,La Liga,5,3,4,FC Barcelona,84.0,10.0,Balanced,Possession,79,17.0,Spain,https://cdn.sofifa.net/players/202/556/23_360.png
R. Sterling,Raheem Sterling,202652,85,85,27,170,69,57.5,180.0,90.0,79.0,78.0,86.0,45.0,67.0,"LW, RW, ST",Right,England,Premier League,4,3,4,Chelsea,84.0,9.0,Balanced,Possession,82,29.5,England,https://cdn.sofifa.net/players/202/652/23_360.png
E. Martínez,Damián Emiliano Martínez,202811,85,85,29,195,88,37.0,105.0,58.0,82.0,82.0,83.0,84.0,83.0,GK,Right,Argentina,Premier League,1,4,3,Aston Villa,79.0,5.0,Pressure On Heavy Touch,Forward Runs,70,1.8,England,https://cdn.sofifa.net/players/202/811/23_360.png
R. Mahrez,Riyad Mahrez,204485,85,85,31,179,67,44.5,200.0,80.0,81.0,81.0,89.0,38.0,60.0,"RW, RM",Left,Algeria,Premier League,5,4,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,83,30.5,England,https://cdn.sofifa.net/players/204/485/23_360.png
Gerard Moreno,Gerard Moreno Balagueró,208093,85,85,30,180,77,53.0,64.0,78.0,86.0,77.0,83.0,46.0,72.0,ST,Left,Spain,La Liga,3,4,2,Villarreal,80.0,8.0,Balanced,Balanced,79,16.5,Spain,https://cdn.sofifa.net/players/208/093/23_360.png
F. Kostić,Filip Kostić,208574,85,85,29,184,84,53.0,165.0,85.0,78.0,82.0,82.0,68.0,80.0,"LM, LW, LWB",Left,Serbia,Serie A,3,2,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,14.0,Italy,https://cdn.sofifa.net/players/208/574/23_360.png
F. Kostić,Filip Kostić,208574,85,85,29,184,84,53.0,165.0,85.0,78.0,82.0,82.0,68.0,80.0,"LM, LW, LWB",Left,Serbia,Serie A,3,2,3,Juventus,82.0,10.0,Pressure On Heavy Touch,Direct Passing,78,14.0,Italy,https://cdn.sofifa.net/players/208/574/23_360.png
Y. Bounou,Yassine Bounou,209981,85,85,31,195,78,28.5,38.0,38.0,78.0,78.0,83.0,84.0,83.0,GK,Left,Morocco,La Liga,1,2,1,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,71,2.1,Spain,https://cdn.sofifa.net/players/209/981/23_360.png
N. Süle,Niklas Süle,212190,85,87,26,195,99,59.0,72.0,72.0,48.0,66.0,59.0,85.0,83.0,"CB, RB",Right,Germany,Bundesliga,3,3,3,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,83,30.5,Germany,https://cdn.sofifa.net/players/212/190/23_360.png
N. Fekir,Nabil Fekir,216594,85,85,28,173,75,54.5,48.0,83.0,82.0,82.0,87.0,38.0,80.0,CAM,Left,France,La Liga,4,4,3,Real Betis,79.0,6.0,Press After Possession Loss,Possession,82,28.0,Spain,https://cdn.sofifa.net/players/216/594/23_360.png
M. Acuña,Marcos Javier Acuña,224334,85,85,30,172,69,46.5,46.0,76.0,74.0,83.0,86.0,81.0,84.0,"LB, LM",Left,Argentina,La Liga,3,3,2,Sevilla,81.0,8.0,Pressure On Heavy Touch,Possession,79,16.0,Spain,https://cdn.sofifa.net/players/224/334/23_360.png
Diogo Jota,Diogo José Teixeira da Silva,224458,85,88,25,178,73,72.0,170.0,85.0,83.0,75.0,85.0,57.0,77.0,"CF, LW",Right,Portugal,Premier League,4,5,2,Liverpool,84.0,9.0,Press After Possession Loss,Balanced,77,14.0,England,https://cdn.sofifa.net/players/224/458/23_360.png
T. Hernández,Theo Bernard François Hernández,232656,85,90,24,184,81,76.0,82.0,93.0,72.0,76.0,81.0,78.0,83.0,LB,Left,France,Serie A,3,3,3,Milan,81.0,9.0,Pressure On Heavy Touch,Forward Runs,75,9.0,Italy,https://cdn.sofifa.net/players/232/656/23_360.png
G. Kobel,Gregor Kobel,235073,85,89,24,195,88,61.0,48.0,44.0,74.0,74.0,84.0,81.0,84.0,GK,Right,Switzerland,Bundesliga,1,3,1,Borussia Dortmund,81.0,9.0,Press After Possession Loss,Forward Runs,65,0.95,Germany,https://cdn.sofifa.net/players/235/073/23_360.png
M. de Ligt,Matthijs de Ligt,235243,85,89,22,189,89,71.0,77.0,70.0,59.0,61.0,68.0,84.0,87.0,CB,Right,Netherlands,Bundesliga,2,3,3,FC Bayern München,84.0,10.0,Pressure On Heavy Touch,Possession,76,11.5,Germany,https://cdn.sofifa.net/players/235/243/23_360.png
P. Foden,Philip Foden,237692,85,92,22,171,69,109.5,180.0,82.0,78.0,83.0,88.0,57.0,60.0,"LW, CF, CAM",Left,England,Premier League,4,3,3,Manchester City,85.0,10.0,Press After Possession Loss,Possession,65,1.1,England,https://cdn.sofifa.net/players/237/692/23_360.png
